# Livello 2 - SnakeRunner

[Obstacles]

4,18
4,19
4,20
4,21

3,0
3,1
3,2
3,3

8,19
8,18
8,17
8,16
8,15
8,14
8,13
8,12
8,11
8,9
8,8
8,7
8,6
8,5
8,1
8,0

11,0
11,1
11,2
11,3
11,4
11,5
11,6
11,7
11,8
11,9
11,10
11,11
11,12
11,13
11,14
11,15
11,16
11,17
11,18
11,19
11,20
12,20

12,3
13,3
14,3


12,8
13,8
14,8

12,16
13,16


16,22
16,21
16,20
16,19
16,18
16,17
16,16
16,15
16,14
16,13
16,12

15,12
14,12

17,21
17,20
17,19
17,18
17,17
17,16
17,15
17,14
17,13
17,12
17,11
17,10
17,9
17,8
17,7
17,6
17,5
17,4
17,3



21,0
22,0
23,0
23,1
23,2
23,3
23,4

22,4
21,4
21,5
21,6

18,9
19,9
21,9
20,9
22,9
23,9
24,9

24,8
24,7


24,22
24,21
24,20
24,19

27,12
26,12
25,12
24,12
23,12
22,12
21,12

27,13
27,14
27,15

26,15
25,15
24,15
23,15
22,15
21,15
21,16
21,17
21,18
21,19

[Collectibles]
14,5,FOOD
26,7,FOOD
7,3,FOOD
26,22,FLAG

