# Livello 1 - SnakeRunner

[Obstacles]
#[Obstacle 1] //From (6,3) to (6,7)
6,2
6,3
6,4
6,5

6,8
6,9
6,10
6,11
6,12


#[Obstacle 2] //From (15,3) to (15,7)

15,3
15,4
15,5
15,6
15,7
15,8
15,9
15,10
15,11

15,14
15,15
15,16
15,17
15,18
15,19
15,20
15,21
15,21

#[Obstacle 3] 
10,35
11,35
12,35
13,35
14,35

20,10
20,11
20,12
20,13

#[Obstacle 4]
30,29
30,28
30,27
30,26
30,25
30,24
30,23
30,22
30,21
30,20

30,0
30,1
30,2
30,3
30,4
30,5
30,6
30,7
30,8
30,9
30,10


#Horizontal obstacle
19,15
20,15
21,15


[Collectibles]
2,2,FOOD
4,1,CLOCK
6,6,KEY
